Minute,Text
96, Fine partita
92, Fallo di Nathan Aké (Manchester City).
92, Giovani Lo Celso (Tottenham Hotspur) conquista un calcio di punizione nella meta' campo avversaria.
91, Davinson Sánchez (Tottenham Hotspur) e' ammonito.
91, Jack Grealish (Manchester City) e' ammonito.
90, Fallo di Jack Grealish (Manchester City).
90, Lucas Moura (Tottenham Hotspur) conquista un calcio di punizione nella propria meta' campo.
90, Sostituzione Tottenham Hotspur. Cristian Romero sostituisce Pierre-Emile Højbjerg.
88, Calcio d'angolo Manchester City. Calcio d'angolo causato da Matt Doherty (Tottenham Hotspur).
86, Calcio d'angolo Manchester City. Calcio d'angolo causato da Hugo Lloris (Tottenham Hotspur).
86, Tiro parato. Ferran Torres (Manchester City) un tiro di destro da posizione decentrata sulla destra parato palla indirizzata nell'angolino in basso a destra. Assist di João Cancelo.
84, Calcio d'angolo Manchester City. Calcio d'angolo causato da Hugo Lloris (Tottenham Hotspur).
84, Tiro parato. Kevin De Bruyne (Manchester City) un tiro di destro da fuori area parato palla indirizzata nell'angolino in basso a destra. Assist di Jack Grealish.
84, João Cancelo (Manchester City) conquista un calcio di punizione sulla fascia destra.
84, Fallo di Dele Alli (Tottenham Hotspur).
83, Oleksandr Zinchenko (Manchester City) conquista un calcio di punizione nella propria meta' campo.
83, Fallo di Lucas Moura (Tottenham Hotspur).
83, Sostituzione Tottenham Hotspur. Matt Doherty sostituisce Japhet Tanganga.
81, Tentativo fallito. João Cancelo (Manchester City) un colpo di testa da fuori area di poco alto sulla destra. Assist di Kevin De Bruyne da calcio d'angolo.
81, Calcio d'angolo Manchester City. Calcio d'angolo causato da Eric Dier (Tottenham Hotspur).
80, Fuorigioco. Pierre-Emile Højbjerg(Tottenham Hotspur) prova il lancio lungo ma Japhet Tanganga e' colto in fuorigioco.
79, Calcio d'angolo Tottenham Hotspur. Calcio d'angolo causato da Rúben Dias (Manchester City).
79, Tiro respinto. Son Heung-Min (Tottenham Hotspur) un tiro di destro da fuori area. Assist di Pierre-Emile Højbjerg.
79, Sostituzione Manchester City. Oleksandr Zinchenko sostituisce Benjamin Mendy.
79, Sostituzione Manchester City. Kevin De Bruyne sostituisce Riyad Mahrez.
78, Fallo di Gabriel Jesus (Manchester City).
78, Lucas Moura (Tottenham Hotspur) conquista un calcio di punizione nella meta' campo avversaria.
77, Sostituzione Tottenham Hotspur. Giovani Lo Celso sostituisce Steven Bergwijn.
76, Fallo di Ilkay Gündogan (Manchester City).
76, Lucas Moura (Tottenham Hotspur) conquista un calcio di punizione nella propria meta' campo.
74, Tiro parato. Jack Grealish (Manchester City) un tiro di sinistro dalla sinistra dell'area parato palla indirizzata nel centro della porta. Assist di Gabriel Jesus con passaggio filtrante.
74, Tiro respinto. Lucas Moura (Tottenham Hotspur) un tiro di destro da centro area.
73, Fallo di Benjamin Mendy (Manchester City).
73, Lucas Moura (Tottenham Hotspur) conquista un calcio di punizione sulla fascia destra.
70, Sostituzione Manchester City. Gabriel Jesus sostituisce Raheem Sterling.
